TRILHA ARQUIVO LEGADO — SEQUÊNCIA COMPLETA,,,,,,,,
10,10,Entendendo o Posicionamento,Aula,Demanda,Laranja,aula-10-entendendo-o-posicionamento.md,transcricoes/aula-10-aula11-entendendo-o-posicionamento-v1-240p.txt,—
11,11,Defina o Seu Hipernicho,Aula + Exercício,Demanda,Laranja,aula-11-definindo-o-seu-hipernicho.md,transcricoes/aula-11-aula12-definindo-o-seu-hipernicho-v2-240p.txt,—
12,12,Identificando as Demandas,Aula,Demanda,Laranja,aula-12-identificando-as-demandas.md,transcricoes/aula-12-aula13-identificando-as-demandas-240p.txt,—
13,13,Demandas Específicas,Aula + Exercício,Demanda,Laranja,aula-13-exercicio-demandas-especificas.md,transcricoes/aula-13-aula14-exercicio-demandas-especificas-v1-240p.txt,—
14,14,Blueprint,Aula,Demanda,Laranja,aula-14-blueprint.md,transcricoes/aula-14-aula15-blueprint-v1-240p.txt,—
15,—,Criando o Blueprint,Exercício,Demanda,Laranja,—,—,Confirmado — Ruan diz: "Então faça o seu Blueprint e eu te vejo agora na próxima aula."
16,15,Preço,Aula,Demanda,Laranja,aula-15-preco.md,transcricoes/aula-15-aula21-preco-240p.txt,—
17,16,A Proposta Encantadora,Aula,Demanda,Laranja,aula-16-a-proposta-encantadora.md,transcricoes/aula-16-aula16-a-proposta-encantadora-240p.txt,—
18,17,Exemplos de Propostas,Aula,Demanda,Laranja,aula-17-exemplos-de-propostas.md,transcricoes/aula-17-aula17-exemplos-de-propostas-240p.txt,—
19,—,Criando a Proposta,Exercício,Demanda,Laranja,—,—,Confirmado — Ruan diz: "Agora crie a sua proposta tanto o roteiro dela escreva responda todas as perguntas no roteiro."
20,18,Ambiente: Visão Geral do Módulo,Aula,Ambiente,Verde,aula-18-ambiente-visao-geral-do-modulo.md,transcricoes/aula-18-aula04-ambiente-visao-geral-do-modulo-240p.txt,—
21,19,Introdução aos Ambientes,Aula,Ambiente,Verde,aula-19-introducao-aos-ambientes.md,transcricoes/aula-19-aula18-introducao-aos-ambientes-240p.txt,—
22,20,CNPJ para Designers,Aula,Ambiente,Verde,aula-20-cnpj-para-designers.md,transcricoes/aula-20-aula19-cnpj-para-designers-v1-240p.txt,—
23,—,Passo a Passo para Criar seu MEI,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-20 encerra sem convocar exercício
24,21,Custo-hora,Aula,Ambiente,Verde,aula-21-custo-hora.md,transcricoes/aula-21-aula20-custo-hora-240p.txt,—
25,—,Definindo o Custo/hora,Exercício,Ambiente,Verde,—,—,Confirmado — Ruan diz: "Então agora a sua tarefa é calcular seu custo inicial seu custo fixo e seu custo variável."
26,—,Definindo o Preço,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-15 (Preço) encerra sem convocar exercício; vem após custo-hora por dependência
27,22,Protocolos,Aula,Ambiente,Verde,aula-22-protocolos.md,transcricoes/aula-22-aula22-protocolos-240p.txt,—
28,—,Definindo os Protocolos,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-22 encerra anunciando próxima aula (site) sem convocar exercício
29,23,Construindo o Seu Website,Aula,Ambiente,Verde,aula-23-construindo-o-seu-website.md,transcricoes/aula-23-aula23-construindo-o-seu-website-v1-240p.txt,—
30,24,Redes Sociais,Aula,Ambiente,Verde,aula-24-redes-sociais.md,transcricoes/aula-24-aula24-redes-sociais-240p.txt,—
31,—,Preparando as Redes,Exercício,Ambiente,Verde,—,—,Confirmado — Ruan diz: "...então faça isso prepare suas redes sociais e a gente se vê agora no próximo vídeo."
32,25,Encontrando as Colmeias,Aula,Ambiente,Verde,aula-25-encontrando-as-colmeias.md,transcricoes/aula-25-aula25-encontrando-as-colmeias.txt,—
33,26,Como Abordar Seus Leads,Aula,Ambiente,Verde,aula-26-como-abordar-seus-leads.md,transcricoes/aula-26-aula26-como-abordar-seus-leads-v1-240p.txt,—
34,—,Listagem de Perguntas,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-26 encerra sem convocar exercício
35,27,Visão Geral do Jardim,Aula,Ambiente,Verde,aula-27-visao-geral-do-jardim.md,transcricoes/aula-27-aula27-visao-geral-do-jardim-240p.txt,—
36,28,Produção de Conteúdo,Aula,Ambiente,Verde,aula-28-producao-de-conteudo.md,transcricoes/aula-28-aula28-producao-de-conteudo-v1-240p.txt,—
37,—,Editorial Inicial,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-28 encerra sem convocar exercício
38,—,Etapa de Ignição,Exercício,Ambiente,Verde,—,—,Inferência lógica — aula-29 encerra sem convocar exercício
39,29,Entendendo a Gestão de Tráfego,Aula,Ambiente,Verde,aula-29-aula29-entendendo-a-gestao-de-trafego.md,transcricoes/aula-29-aula29-entendendo-a-gestao-de-trafego-v1-240p.txt,—
40,30,Conclusão,Aula,Encerramento,—,aula-30-conclusao.md,transcricoes/aula-30-aula30-conclusao-v1-240p.txt,—
